max speed;age;thousand km per year;group
191.0;41.0;44.0;1
175.0;69.0;15.0;0
195.0;46.0;32.0;1
182.0;70.0;56.0;2
199.0;41.0;44.0;0
186.0;72.0;59.0;2
202.0;35.0;46.0;0
164.0;42.0;33.0;1
166.0;67.0;34.0;0
176.0;30.0;22.0;0
175.0;71.0;24.0;2
171.0;40.0;35.0;1
199.0;33.0;53.0;0
171.0;59.0;50.0;2
147.0;64.0;45.0;2
164.0;44.0;16.0;1
178.0;39.0;21.0;2
201.0;36.0;59.0;0
168.0;39.0;28.0;1
142.0;18.0;14.0;2
160.0;41.0;21.0;1
189.0;45.0;42.0;1
169.0;36.0;36.0;0
177.0;19.0;38.0;0
166.0;74.0;15.0;0
163.0;27.0;13.0;1
169.0;39.0;37.0;2
187.0;20.0;28.0;2
131.0;18.0;7.0;2
172.0;38.0;34.0;0
202.0;29.0;47.0;0
180.0;68.0;50.0;2
185.0;68.0;24.0;2
155.0;44.0;26.0;1
161.0;39.0;28.0;1
194.0;46.0;38.0;1
173.0;35.0;66.0;2
187.0;41.0;34.0;1
193.0;50.0;43.0;1
147.0;30.0;32.0;2
144.0;30.0;15.0;2
151.0;49.0;25.0;2
180.0;53.0;11.0;2
170.0;52.0;51.0;2
146.0;23.0;19.0;2
167.0;48.0;28.0;1
167.0;55.0;12.0;1
198.0;37.0;47.0;0
197.0;42.0;46.0;1
202.0;32.0;52.0;0
179.0;74.0;11.0;0
174.0;37.0;24.0;1
168.0;29.0;10.0;0
157.0;40.0;5.0;1
139.0;26.0;7.0;2
177.0;39.0;46.0;2
172.0;32.0;17.0;0
153.0;39.0;13.0;1
176.0;83.0;23.0;0
172.0;79.0;9.0;0
170.0;43.0;20.0;1
163.0;81.0;9.0;0
185.0;48.0;47.0;2
169.0;39.0;43.0;2
160.0;20.0;47.0;2
148.0;27.0;22.0;2
169.0;81.0;9.0;0
178.0;64.0;18.0;0
182.0;41.0;44.0;1
164.0;40.0;17.0;1
158.0;35.0;15.0;1
187.0;44.0;46.0;1
184.0;50.0;25.0;2
190.0;46.0;32.0;1
177.0;18.0;31.0;0
167.0;74.0;15.0;0
160.0;58.0;32.0;1
153.0;41.0;20.0;1
167.0;42.0;17.0;1
153.0;29.0;24.0;0
199.0;33.0;48.0;0
197.0;42.0;35.0;1
184.0;44.0;40.0;1
187.0;47.0;37.0;1
184.0;48.0;27.0;1
159.0;37.0;18.0;1
181.0;32.0;42.0;0
144.0;51.0;26.0;1
169.0;44.0;30.0;1
203.0;36.0;41.0;0
163.0;27.0;5.0;2
183.0;37.0;39.0;2
140.0;46.0;31.0;1
167.0;51.0;12.0;1
155.0;76.0;51.0;2
144.0;28.0;14.0;2
161.0;73.0;24.0;0
171.0;87.0;20.0;0
164.0;34.0;22.0;0
171.0;67.0;42.0;2
199.0;36.0;43.0;0
192.0;49.0;30.0;1
202.0;43.0;48.0;0
155.0;28.0;5.0;1
200.0;37.0;39.0;1
163.0;90.0;37.0;2
165.0;22.0;18.0;1
196.0;32.0;45.0;0
180.0;76.0;20.0;0
179.0;64.0;47.0;2
185.0;64.0;42.0;2
197.0;38.0;50.0;0
202.0;40.0;52.0;0
177.0;40.0;34.0;0
163.0;51.0;24.0;1
163.0;77.0;5.0;2
166.0;34.0;18.0;1
190.0;38.0;44.0;1
166.0;40.0;12.0;0
167.0;63.0;5.0;2
131.0;21.0;19.0;2
187.0;30.0;52.0;2
192.0;38.0;57.0;0
170.0;68.0;23.0;0
176.0;64.0;30.0;2
167.0;34.0;20.0;0
175.0;35.0;36.0;0
180.0;62.0;22.0;0
156.0;54.0;24.0;1
146.0;23.0;11.0;2
175.0;32.0;21.0;0
143.0;19.0;7.0;2
130.0;19.0;13.0;2
187.0;37.0;51.0;2
191.0;58.0;48.0;1
140.0;27.0;10.0;2
154.0;47.0;25.0;1
164.0;52.0;74.0;2
195.0;55.0;35.0;1
174.0;33.0;29.0;0
187.0;45.0;40.0;1
